,revenue_category,year,power_code_code,value,mean_value
947,5200 Taxes on use of goods and perform activities,2005,600000,0.04333717207165356,0.04333717207165356
948,5200 Taxes on use of goods and perform activities,2006,600000,0.04333717207165356,0.04333717207165356
949,5200 Taxes on use of goods and perform activities,2007,600000,0.04333717207165356,0.04333717207165356
950,5200 Taxes on use of goods and perform activities,2008,600000,0.04333717207165356,0.04333717207165356
951,5200 Taxes on use of goods and perform activities,2009,600000,0.04333717207165356,0.04333717207165356
952,5200 Taxes on use of goods and perform activities,2010,600000,0.04333717207165356,0.04333717207165356
953,5200 Taxes on use of goods and perform activities,2011,600000,0.04333717207165356,0.04333717207165356
954,5200 Taxes on use of goods and perform activities,2012,600000,0.04333717207165356,0.04333717207165356
955,5200 Taxes on use of goods and perform activities,2013,600000,0.04333717207165356,0.04333717207165356
956,5200 Taxes on use of goods and perform activities,2014,600000,0.04333717207165356,0.04333717207165356
957,5200 Taxes on use of goods and perform activities,2015,600000,0.04333717207165356,0.04333717207165356
958,5200 Taxes on use of goods and perform activities,2016,600000,0.04333717207165356,0.04333717207165356
959,5200 Taxes on use of goods and perform activities,2017,600000,0.04333717207165356,0.04333717207165356
960,5200 Taxes on use of goods and perform activities,2018,600000,0.04333717207165356,0.04333717207165356
961,5200 Taxes on use of goods and perform activities,2019,600000,0.04333717207165356,0.04333717207165356
962,5200 Taxes on use of goods and perform activities,2020,600000,0.04333717207165356,0.04333717207165356
963,5200 Taxes on use of goods and perform activities,2021,600000,0.04333717207165356,0.04333717207165356
964,5300 Unallocable between 5100 and 5200,2004,600000,0.04333717207165356,0.04333717207165356
965,5300 Unallocable between 5100 and 5200,2005,600000,0.04333717207165356,0.04333717207165356
966,5300 Unallocable between 5100 and 5200,2006,600000,0.04333717207165356,0.04333717207165356
967,5300 Unallocable between 5100 and 5200,2007,600000,0.04333717207165356,0.04333717207165356
968,5300 Unallocable between 5100 and 5200,2008,600000,0.04333717207165356,0.04333717207165356
969,5300 Unallocable between 5100 and 5200,2009,600000,0.04333717207165356,0.04333717207165356
970,5300 Unallocable between 5100 and 5200,2010,600000,0.04333717207165356,0.04333717207165356
971,5300 Unallocable between 5100 and 5200,2011,600000,0.04333717207165356,0.04333717207165356
972,5300 Unallocable between 5100 and 5200,2012,600000,0.04333717207165356,0.04333717207165356
973,5300 Unallocable between 5100 and 5200,2013,600000,0.04333717207165356,0.04333717207165356
974,5300 Unallocable between 5100 and 5200,2014,600000,0.04333717207165356,0.04333717207165356
975,5300 Unallocable between 5100 and 5200,2015,600000,0.04333717207165356,0.04333717207165356
976,5300 Unallocable between 5100 and 5200,2016,600000,0.04333717207165356,0.04333717207165356
977,5300 Unallocable between 5100 and 5200,2017,600000,0.04333717207165356,0.04333717207165356
978,5300 Unallocable between 5100 and 5200,2018,600000,0.04333717207165356,0.04333717207165356
979,5300 Unallocable between 5100 and 5200,2019,600000,0.04333717207165356,0.04333717207165356
980,5300 Unallocable between 5100 and 5200,2020,600000,0.04333717207165356,0.04333717207165356
981,5300 Unallocable between 5100 and 5200,2021,600000,0.04333717207165356,0.04333717207165356
982,5300 Unallocable between 5100 and 5200,2004,600000,0.04333717207165356,0.04333717207165356
983,5300 Unallocable between 5100 and 5200,2005,600000,0.04333717207165356,0.04333717207165356
984,5300 Unallocable between 5100 and 5200,2006,600000,0.04333717207165356,0.04333717207165356
985,5300 Unallocable between 5100 and 5200,2007,600000,0.04333717207165356,0.04333717207165356
986,5300 Unallocable between 5100 and 5200,2008,600000,0.04333717207165356,0.04333717207165356
987,5300 Unallocable between 5100 and 5200,2009,600000,0.04333717207165356,0.04333717207165356
988,5300 Unallocable between 5100 and 5200,2010,600000,0.04333717207165356,0.04333717207165356
989,5300 Unallocable between 5100 and 5200,2011,600000,0.04333717207165356,0.04333717207165356
990,5300 Unallocable between 5100 and 5200,2012,600000,0.04333717207165356,0.04333717207165356
991,5300 Unallocable between 5100 and 5200,2013,600000,0.04333717207165356,0.04333717207165356
992,5300 Unallocable between 5100 and 5200,2014,600000,0.04333717207165356,0.04333717207165356
993,5300 Unallocable between 5100 and 5200,2015,600000,0.04333717207165356,0.04333717207165356
994,5300 Unallocable between 5100 and 5200,2016,600000,0.04333717207165356,0.04333717207165356
995,5300 Unallocable between 5100 and 5200,2017,600000,0.04333717207165356,0.04333717207165356
996,5300 Unallocable between 5100 and 5200,2018,600000,0.04333717207165356,0.04333717207165356
997,5300 Unallocable between 5100 and 5200,2019,600000,0.04333717207165356,0.04333717207165356
998,5300 Unallocable between 5100 and 5200,2020,600000,0.04333717207165356,0.04333717207165356
999,5300 Unallocable between 5100 and 5200,2021,600000,0.04333717207165356,0.04333717207165356
1000,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2004,600000,0.04333717207165356,0.04333717207165356
1001,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2005,600000,0.04333717207165356,0.04333717207165356
1002,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2006,600000,0.04333717207165356,0.04333717207165356
1003,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2007,600000,0.04333717207165356,0.04333717207165356
1004,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2008,600000,0.04333717207165356,0.04333717207165356
1005,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2009,600000,0.04333717207165356,0.04333717207165356
1006,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2010,600000,0.04333717207165356,0.04333717207165356
1007,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2011,600000,0.04333717207165356,0.04333717207165356
1008,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2012,600000,0.04333717207165356,0.04333717207165356
1009,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2013,600000,0.04333717207165356,0.04333717207165356
1010,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2014,600000,0.04333717207165356,0.04333717207165356
1011,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2015,600000,0.04333717207165356,0.04333717207165356
1012,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2016,600000,0.04333717207165356,0.04333717207165356
1013,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2017,600000,0.04333717207165356,0.04333717207165356
1014,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2018,600000,0.04333717207165356,0.04333717207165356
1015,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2019,600000,0.04333717207165356,0.04333717207165356
1016,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2020,600000,0.04333717207165356,0.04333717207165356
1017,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2021,600000,0.04333717207165356,0.04333717207165356
1018,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2004,600000,0.04333717207165356,0.04333717207165356
1019,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2005,600000,0.04333717207165356,0.04333717207165356
1020,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2006,600000,0.04333717207165356,0.04333717207165356
1021,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2007,600000,0.04333717207165356,0.04333717207165356
1022,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2008,600000,0.04333717207165356,0.04333717207165356
1023,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2009,600000,0.04333717207165356,0.04333717207165356
1024,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2010,600000,0.04333717207165356,0.04333717207165356
1025,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2011,600000,0.04333717207165356,0.04333717207165356
1026,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2012,600000,0.04333717207165356,0.04333717207165356
1027,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2013,600000,0.04333717207165356,0.04333717207165356
1028,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2014,600000,0.04333717207165356,0.04333717207165356
1029,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2015,600000,0.04333717207165356,0.04333717207165356
1030,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2016,600000,0.04333717207165356,0.04333717207165356
1031,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2017,600000,0.04333717207165356,0.04333717207165356
1032,"6000 Taxes other than 1000, 2000, 3000, 4000 and 5000",2018,600000,0.04333717207165356,0.04333717207165356
